architecture, [`ɑrkə͵tɛktʃɚ] n.建築
arena, [ə`rinə] n.競技場
abide, [ə`baɪd] vt.vi.遵守
armor, [`ɑrmɚ] n.盔甲
abolish, [ə`bɑlɪʃ] vt.廢止
ascend, [ə`sɛnd] vt.vi.上升
abortion, [ə`bɔrʃən] n.墮胎
ass, [æ s] n.驢子；笨蛋；屁股
abrupt, [ə`brʌpt] adj.突然的
assault, [ə`sɔlt] vt.n.攻擊 vi.動武
absurd, [əb`sɝd] adj.荒謬的
asset, [`æ sɛt] n.資產
abundant, [ə`bʌndənt] adj.豐富的
astonish, [ə`stɑnɪʃ] vt.震驚
academy, [ə`kæ dəmɪ] n.學院
astonishment, [ə`stɑnɪʃmənt] n.震驚
accustom, [ə`kʌstəm] vt.使…習慣
astray, [ə`stre] adv.迷路地
ace, [es] n.么點；王牌
astronaut, [`æ strə͵nɔt] n.太空人
acknowledge, [ək`nɑlɪdʒ] vt.承認
astronomer, [ə`strɑnəmɚ] n.天文學家
acknowledgement, [ək`nɑlɪdʒmənt] n.承認
astronomy, [əs`trɑnəmɪ] n.天文學
acne, [`æ knɪ] n.粉刺
attendance, [ə`tɛndəns] n.出席
admiral, [`æ dmərəl] n.海軍上將
auditorium, [͵ɔdə`torɪəm] n.禮堂
adolescence, [æ d!`ɛsns] n.青春期
auxiliary, [ɔg`zɪljərɪ] adj.輔助的
adolescent, [͵æd!`ɛsnt] adj.青春期的 n.輔助者；助手；助動詞
adore, [ə`dor] vt.珍愛
awe, [ɔ] n.敬畏 vt.使...敬畏
adulthood, [ə`dʌlthʊd] n.成年時期
awhile, [ə`hwaɪl] adv.片刻
advertiser, [`æ dvɚ͵taɪzɚ] n.登廣告者
bachelor, [`bæ tʃəlɚ] n.單身漢
affection, [ə`fɛkʃən] n.情愛
backbone, [`bæk͵bon] n.脊椎
agenda, [ə`dʒɛndə] n.議程
badge, [bæ dʒ] n.徽章
agony, [`æ gənɪ] n.痛苦
ballot, [`bæ lət] n.選票
agricultural, [͵ægrɪ`kʌltʃərəl] adj.農業的
ban, [bæ n] n.vt.禁止
artificial intelligence, [͵ɑrtə`fɪʃəl] [ɪn`tɛlədʒəns] n.人工智慧
bandit, [`bæ ndɪt] n.土匪
banner, [`bæ nɚ] n.旗幟
airtight, [`ɛr͵taɪt] adj.密閉的
banquet, [`bæŋkwɪt] n.宴會
airway, [`ɛr͵we] n.呼吸道；(礦井的)風道
barbarian, [bɑr`bɛrɪən] n.野蠻人 a.野蠻人的
aisle, [aɪl] n.走道；通道
algebra, [`æ ldʒəbrə] n.代數
barbershop, [`bɑrbɚ͵ʃɑp] n. (男)理髮廳
alien, [èlɪən] n.外國人；外星人 a.外星的；外國的
barefoot, [`bɛr͵fʊt] adj.赤腳的
barren, [`bæ rən] adj.貧瘠的；不孕的
allergic, [ə`lɝdʒɪk] adj.過敏的
bass, [bes] n.低音樂器；男低音；鱸魚
allergy, [`æ lɚdʒɪ] n.過敏
batch, [bæ tʃ] n.一批
alligator, [`æ lə͵getɚ] n.鱷魚
batter, [`bæ tɚ] vt.vi.猛擊
ally, [ə`laɪ] n.同盟者
bazaar, [bə`zɑr] n.市場
alter, [`ɔltɚ] vt.vi.改變
beautify, [`bjutə͵faɪ] vt.vi.美化
alternate, [`ɔltɚnɪt] vt.vi.adj.n.替換(者)
beforehand, [bɪ`for͵hænd] adv.預先地
altitude, [`æ ltə͵tjud] n.海拔
behalf, [bɪ`hæ f] n.代表
ample, [`æ mp!] adj.足夠的
belongings, [bə`lɔŋɪŋz] n.財產
anchor, [`æŋkɚ] n.錨
beloved, [bɪ`lʌvɪd] adj.心愛的
anthem, [ˋænθəm] n.讚美詩；聖歌；國歌
beneficial, [͵bɛnə`fɪʃəl] adj.有益(利)的
antique, [æ n`tik] n.骨董
beware, [bɪ`wɛr] v.當心
applaud, [ə`plɔd] vt.vi.鼓掌
bid, [bɪd] vt.命令；吩咐；向…表示；出價 n.出價；努力
applause, [ə`plɔz] n.掌聲
apt, [æ pt] adj.有…傾向的；聰明的
blacksmith, [`blæk͵smɪθ] n.鐵匠
architect, [`ɑrkə͵tɛkt] n.建築師
blast, [blæ st] n.強風；爆炸 v.爆炸
blaze, [blez] n.火焰 v.燃燒
carbon, [`kɑrbən] n.炭
bleach, [blitʃ] vt.vi.n.漂白(劑)
cardboard, [`kɑrd͵bord] n.硬紙板
blizzard, [`blɪzɚd] n.暴風雪
carefree, [`kɛr͵fri] adj.無憂無慮的
blond/blonde, [blɑnd] adj.金髮的 n.金髮人
caretaker, [`kɛr͵tekɚ] n.照顧者
blot, [blɑt] n.汙漬(同 stain [sten])
carnation, [kɑr`neʃən] n.康乃馨
blues, [bluz] n.憂鬱
carnival, [`kɑrnəv!] n.嘉年華會
blur, [blɝ] n.模糊 v.使…模糊
carp, [kɑrp] n.鯉魚
bodily, [`bɑdɪlɪ] adj.身體的
carton, [`kɑrtn] n.紙盒；紙箱
bodyguard, [`bɑdɪ͵gɑrd] n.保鑣
category, [`kæ tə͵gorɪ] n.種類；分類
bog, [bɑg] n.沼澤 vt.vi.(使) 陷入泥淖
cathedral, [kə`θidrəl] n.大教堂
bolt, [bolt] n.門閂；閃電 vt.vi.閂住
caution, [`kɔʃən] n.小心；謹慎
bonus, [`bonəs] n.紅利
cautious, [`kɔʃəs] adj.小心的；謹慎的
boom, [bum] n.vi.vt.(發出)隆隆聲；(使)興旺
celebrity, [sɪ`lɛbrətɪ] n.名人；名流；名聲
booth, [buθ] n.小亭
celery, [`sɛlərɪ] n.芹菜
boredom, [`bordəm] n.無聊
cellar, [`sɛlɚ] n.地窖；地下室；酒窖
bosom, [`bʊzəm] n.胸；乳房
cellphone, [`sɛlfon]n.手機
botany, [`bɑtənɪ] n.植物學
boulevard, [`bulə͵vɑrd] n.林蔭大道
bound, [baʊnd] vi.vt.(使)跳躍
boundary, [`baʊndrɪ] n.邊界
cello, [`tʃɛlo] n.大提琴
bowel, [`baʊəl] n.腸
Celsius, [`sɛlsɪəs] n.攝氏 adj.攝氏的
boxer, [`bɑksɚ] n.拳擊手
boxing, [`bɑksɪŋ] n.拳擊
ceremony, [`sɛrə͵monɪ] n.典禮；儀式
boyhood, [`bɔɪhʊd] n.少年時期
certificate, [sɚ`tɪfəkɪt] n.證書
brace, [bres] n.支撐物；矯正器；大括號
chairperson, [`tʃɛr͵pɝsn] n.議長；主席(無性別歧視)
braid, [bred] n.辮子
breadth, [brɛdθ] n.寬度
chairman, [`tʃɛrmən] n.主席
bribe, [braɪb] n.vt.vi.賄賂
chairwoman, [`tʃɛr͵wʊmən] n.女主席
briefcase, [`brif͵kes] n.公事包
chant, [tʃæ nt] n.vt.vi.反覆地唱；吟誦
broaden, [`brɔdn] vi.vt.拓寬
chatter, [`tʃæ tɚ] vt.vi.n.喋喋不休地說
bronze, [brɑnz] n.青銅
checkbook, [`tʃɛk͵bʊk] n.支票簿
brooch, [brotʃ] n.胸針
check-in, [`tʃɛk͵ɪn] n.到達登記；報到
brood, [brud] n.一窩(卵、蟲、鳥) vt.vi.孵出
check-out, [`tʃɛk͵aʊt] n.檢查；結帳離開；退房
broth, [brɔθ] n.湯
brotherhood, [`brʌðɚ͵hʊd] n.兄弟情誼
checkup, [`tʃɛk͵ʌp] n.檢查；體檢
browse, [braʊz] vi.vt.n.瀏覽；吃草
chef, [ʃɛf] n.主廚；大師傅
bruise, [bruz] n.瘀青
chemist, [`kɛmɪst] n.化學家
bulge, [bʌldʒ] n.腫脹；凸塊
chestnut, [`tʃɛs͵nʌt] n.栗子
bulk, [bʌlk] n.體積；容積；大量
chili, [`tʃɪlɪ] n.胡椒
bully, [`bʊlɪ] n.vt.vi.霸凌；威嚇
chimpanzee, [͵tʃɪmpæ n`zi] n.黑猩猩
bureau, [`bjʊro] n.局(處)
choir, [kwaɪr] n.唱詩班
butcher, [`bʊtʃɚ] n.肉販
chord, [kɔrd] n.和弦；和音
cactus, [`kæ ktəs] n.仙人掌
chubby, [`tʃʌbɪ] adj.圓胖的；豐滿的
calf, [kæ f] n.小牛 (複: calves)
circuit, [`sɝkɪt] n.電路
calligraphy, [kə`lɪgrəfɪ] n.書法
cite, [saɪt] vt.引用；引…為證
canal, [kə`næ l] n.運河
civic, [`sɪvɪk] adj.公民的；市民的
cannon, [`kæ nən] n.大砲
clam, [klæ m] n.蛤；鉗子
clan, [klæ n] n.氏族；部落
conduct, [`kɑndʌkt] n.行為；指導
clasp, [klæ sp] vt.vi.n.緊握；緊抱；擁抱
confession, [kən`fɛʃən] n.坦白；懺悔
clause, [klɔz] n.子句；條款
confront, [kən`frʌnt] vt.面臨；遭遇
cling, [klɪŋ] vi.黏著；纏著；緊抓
consent, [kən`sɛnt] vi.n.同意
clockwise, [`klɑk͵waɪz] adj.adv.順時針的(地)
conserve, [kən`sɝv] vt.保存；節省
clover, [`klovɚ] n.苜蓿；三葉草
considerate, [kən`sɪdərɪt] adj.體諒的
cluster, [`klʌstɚ] n.群；串；束
console, [kən`sol] vt.安慰
clutch, [klʌtʃ] vt.vi.n.抓住 n.離合器
constitutional, [͵kɑnstə`tjuʃən!] adj.憲法的
coastline, [`kost͵laɪn] n.海岸線
contagious, [kən`tedʒəs] adj.有傳染性的
cocoon, [kə`kun] n.繭
contaminate, [kən`tæ mə͵net] vt.汙染
coil, [kɔɪl] n.線圈；捲 vt.vi.捲；盤繞
contemplate, [`kɑntɛm͵plet] vt.vi.深思
colleague, [`kɑlig] n.同事
contemporary, [kən`tɛmpə͵rɛrɪ] adj.當代的
colonel, [`kɝn!] n.陸軍上校
contempt, [kən`tɛmpt] n.輕視
colonial, [kə`lonjəl] adj.殖民(地)的
contend, [kən`tɛnd] vt.vi.爭論；競爭
combat, [`kɑmbæ t] n.vt.vi.戰鬥
continental, [͵kɑntə`nɛnt!] adj.洲的；大陸的
comedian, [kə`midɪən] n.喜劇演員
continuity, [͵kɑntə`njuətɪ] n.連貫性；持續性
comet, [`kɑmɪt] n.彗星
convert, [kən`vɝt] vt.vi.轉換；變成
commentator, [`kɑmən͵tetɚ] n.評論家
convict, [kən`vɪkt] vt.判...有罪；判決
commission, [kə`mɪʃən] n.傭金 vt.委任
coral, [`kɔrəl] n.珊瑚
commodity, [kə`mɑdətɪ] n.商品；日用品
corporation, [͵kɔrpə`reʃən] n.股份有限公司
commonplace, [`kɑmən͵ples] adj.平凡的
copyright, [`kɑpɪ͵raɪt] n.版權；著作權
communism, [`kɑmjʊ͵nɪzəm] n.共產主義
correspondence, [͵kɔrə`spɑndəns] n.通信
communist, [`kɑmjʊ͵nɪst] n.共產主義者 adj.共產主義的
corridor, [`kɔrɪdɚ] n.走廊；通道
corrupt, [kə`rʌpt] vt.vi.adj.腐敗(的)
commute, [kə`mjut] vi.n.通勤
counsel, [`kaʊns!] n.vt.vi.忠告；商議
commuter, [kə`mjutɚ] n.通勤者
counselor, [`kaʊns!ɚ] n.顧問；輔導員
compact, [kəm`pæ kt] adj.緊密的；小巧的
cozy, [`kozɪ] adj.舒適的
compass, [`kʌmpəs] n.指南針
counterclockwise, [͵kaʊntɚ`klɑk͵waɪz] adj.adv.逆時針的(地)
compassion, [kəm`pæ ʃən] n.同情
compassionate, [kəm`pæ ʃənet] adj.有同情心的
coupon, [`kupɑn] n.折價券；優待券
courtyard, [`kort`jɑrd] n.庭院
compel, [kəm`pɛl] vt.強迫
cowardly, [`kaʊɚdlɪ] adj.adv.膽小的(地)
compliment, [`kɑmpləmənt] n.vt.恭維；稱讚
cracker, [`kræ kɚ] n.脆餅；爆竹
compound, [`kɑmpaʊnd] n.混合物 [kɑm`paʊnd] vt.合成
crater, [`kretɚ] n.火山口
creak, [krik] vt.vi.發出喀吱聲
comprehend, [͵kɑmprɪ`hɛnd] vt.理解
creek, [krik] n.小河
comprehension, [͵kɑmprɪ`hɛnʃən] n.理解力
crib, [krɪb] n.嬰兒床
compromise, [`kɑmprə͵maɪz] n.vt.vi.妥協；讓步
crocodile, [`krɑkə͵daɪl] n.鱷魚
crossing, [`krɔsɪŋ] n.交叉點；十字路口
compute, [kəm`pjut] vt.vi.n.計算
crouch, [kraʊtʃ] n.vt.vi.蹲伏
computerize, [kəm`pjutə͵raɪz] vt.使電腦化
crunch, [krʌntʃ] v.n.(發出)嘎吱吱的聲音
comrade, [`kɑmræ d] n.夥伴
crystal, [`krɪst!] n.水晶
conceal, [kən`sil] vt.隱藏
cuisine, [kwɪ`zin] n.菜餚；烹飪
conceive, [kən`siv] vt.vi.想像
curb, [kɝb] n.路邊；邊欄 vt.抑制
condemn, [kən`dɛm] vt.譴責
currency, [`kɝənsɪ] n.貨幣；流通
curriculum, [kə`rɪkjələm] n.課程(複:curricula)
conduct, [kən`dʌkt] vt.vi.指揮；行為
curry, [`kɝɪ] n.咖哩
customs, [`kʌstəmz] n.海關；關稅
ego, [ìgo] n.自我；自我意識
dart, [dɑrt] n.鏢 vt.投擲 vi.急衝
elaborate, [ɪ`læ bə͵ret] adj.精巧的 vi.vt.詳述
dazzle, [`dæ z!] vt.使…目眩；耀眼
decay, [dɪ`ke] n.vt.vi.腐朽；衰敗
elevate, [`ɛlə͵vet] vt.提升；抬高
deceive, [dɪ`siv] vt.vi.欺騙；蒙蔽
embrace, [ɪm`bres] vt.vi.n.擁抱
declaration, [͵dɛklə`reʃən] n.宣言
endeavor, [ɪn`dɛvɚ] vi.n.努力；盡力
delegate, [`dɛlə͵get] n.代表團團員 vt.派...為代表
enroll, [ɪn`rol] vt.vi.(使…)註冊
enrollment, [ɪn`rolmənt] n.註冊
delegation, [͵dɛlə`geʃən] n.代表團；委任
ensure/insure, [ɪn`ʃʊr] vt.確保
democrat, [`dɛmə͵kræ t] n.民主主義者
enterprise, [`ɛntɚ͵praɪz] n.企業；事業心
denial, [dɪ`naɪəl] n.否認；拒絕
enthusiastic, [ɪn͵θjuzɪ`æ stɪk] adj.熱心的
descriptive, [dɪ`skrɪptɪv] adj.描述的
entitle, [ɪn`taɪt!] vt.取名為…；始有資格
despair, [dɪ`spɛr] n.vi.絕望
equate, [ɪ`kwet] vt.使相等；同等看待
despise, [dɪ`spaɪz] vt.輕視
erect, [ɪ`rɛkt] vt.豎立；使直立
destination, [͵dɛstə`neʃən] n.目的地
erupt, [ɪ`rʌpt] vt.vi.爆發
destiny, [`dɛstənɪ] n.命運
escort, [`ɛskɔrt] n.護送者 vt.護送
destructive, [dɪ`strʌktɪv] adj.有破壞性的
estate, [ɪs`tet] n.財產
devotion, [dɪ`voʃən] n.奉獻；忠誠；熱愛
esteem, [ɪs`tim] n.vt.尊重
devour, [dɪ`vaʊr] vt.吞食
eternal, [ɪ`tɝn!] adj.不朽的；無休止的
dialect, [`daɪəlɛkt] n.方言
ethic(s), [`ɛθɪk(s)] n.倫理標準
disbelief, [͵dɪsbə`lif] n.不信；懷疑
evergreen, [`ɛvɚ͵grin] n.長青樹 adj.常綠的
discard, [`dɪskɑrd] n.丟棄
disciple, [dɪ`saɪp!] n.信徒；門徒
exaggeration, [ɪg͵zædʒə`reʃən] n.誇大；誇張
discriminate, [dɪ`skrɪmə͵net] vt.vi.辨別；歧視
exceed, [ɪk`sid] vt.vi.超過；勝過
dispense, [dɪ`spɛns] vt.分配；分送；執行
excel, [ɪk`sɛl] vt.vi.勝過；擅長
dispose, [dɪ`spoz] vt.vi.處理；整理；配置
exceptional, [ɪk`sɛpʃən!] adj.優異的
distinction, [dɪ`stɪŋkʃən] n.差別；卓越
excess, [ɪk`sɛs] n.過度；過量
distinctive, [dɪ`stɪŋktɪv] adj.有特色的
exclaim, [ɪks`klem] vt.vi.驚叫；呼喊
distress, [dɪ`strɛs] n.痛苦 vt.使痛苦
exclude, [ɪk`sklud] vt.排除
document, [`dɑkjəmənt] n.文件
execute, [`ɛksɪ͵kjut] vt.執行；處決
doorstep, [`dor͵stɛp] n.門階
executive, [ɪg`zɛkjʊtɪv] n.執行者；行政官 adj.執行的；行政上的
doorway, [`dor͵we] n.出入口
dormitory, [`dɔrmə͵torɪ] n.學生宿舍
exile, [`ɛksaɪl] n.放逐(者) vt.放逐
dough, [do] n.生麵團
extension, [ɪk`stɛnʃən] n.延伸
downward(s), [`daʊnwɚd(z)] adj.adv.向下
extensive, [ɪk`stɛnsɪv] adj.廣泛的；延長的
drape, [drep] n.簾 vt.vi.覆蓋
exterior, [ɪk`stɪrɪɚ] adj.外部的 n.外部
dreadful, [`drɛdfəl] adj.畏懼的；可怕的
external, [ɪk`stɝnəl] adj.外部的；客觀的
dresser, [`drɛsɚ] n.梳妝台；(劇場)服裝員
extinct, [ɪk`stɪŋkt] adj.絕種的
dressing, [`drɛsɪŋ] n.沙拉醬；服飾
extraordinary, [ɪk`strɔrdn͵ɛrɪ] adj.非凡的
driveway, [`draɪv͵we] n.私人車道
eyelash, [àɪ͵læ ʃ] n.睫毛(lash)
duration, [djʊ`reʃən] n.持續期間
eyelid, [àɪ͵lɪd] n.眼皮；眼瞼
dusk, [dʌsk] n.黃昏
fabric, [`fæ brɪk] n.布料；結構
dwarf, [dwɔrf] n.矮子 adj.矮小的
fad, [fæ d] n.時尚
dwell, [dwɛl] vi.居住
Fahrenheit, [`fæ rən͵haɪt] adj.華氏的 n.華氏溫度計
dwelling, [`dwɛlɪŋ] n.住處
eclipse, [ɪ`klɪps] n.vt.蝕
falter, [`fɔltɚ] vi.蹣跚；搖晃
eel, [il] n.鰻；鱔魚
fascinate, [`fæsn͵et] vt.vi.使著迷；吸引
fatigue, [fə`tig] n.vt.vi.(使…)極度疲勞
glitter, [`glɪtɚ] n.vi.閃爍；閃光
federal, [`fɛdərəl] adj.聯邦的；同盟的
gloom, [glum] n.黑暗；憂鬱
feeble, [fib!] adj.微弱的
gnaw, [nɔ] vt.vi.咬；消耗
feminine, [`fɛmənɪn] adj.有女性氣質的
gobble, [`gɑb!] n.vi.火雞咯咯叫 vt.vi.狼吞虎嚥
fertilizer, [`fɝtl͵aɪzɚ] n.肥料
fiance, [͵fiən`se] n.未婚夫
gorge, [gɔrdʒ] n.峽谷 n.vt.vi.狼吞虎嚥
fiancee, [͵fiən`se] n.未婚妻
gorgeous, [`gɔrdʒəs] adj.華麗的；極好的
fiber, [`faɪbɚ] n.纖維；構造
gorilla, [gə`rɪlə] n.大猩猩；大塊頭
fiddle, [`fɪd!] n.小提琴
gospel, [`gɑsp!] n.福音；教條
filter, [`fɪltɚ] n.過濾器 vt.vi.過濾
grant, [græ nt] vt.n.承認；允許；給予 n.授予物；獎學金
fin, [fɪn] n.鰭；魚翅
fishery, [`fɪʃərɪ] n.魚場
gravity, [`græ vətɪ] n.重力
flake, [flek] n.小薄片；玉米片
graze, [grez] vt.vi.n.放牧；擦過
flap, [flæ p] vt.vi.n.拍打(聲)
grease, [gris] n.油脂
flaw, [flɔ] n.裂縫；瑕疵；缺點
greed, [grid] n.貪心；貪婪
flick, [flɪk] n.輕打聲 vt.vi.輕彈
grim, [grɪm] adj.嚴厲的；無情的
flip, [flɪp] vt.vi.拋；使翻轉
grip, [grɪp] n.vt.vi.緊握；理解
flourish, [`flɝɪʃ] vi.興盛；茂盛
groan, [gron] n.vt.vi.呻吟
fluency, [`fluənsɪ] n.流利；流暢
gross, [gros] adj.總的；粗略的
foe, [fo] n.仇敵；敵人
growl, [graʊl] vt.vi.n.嚎叫；咆哮
foil, [fɔɪl] n.箔；金屬薄片
grumble, [`grʌmb!] n.vt.vi.抱怨 n.怨言
folklore, [`fok͵lor] n.民間傳說；習俗
guideline, [`gaɪd͵laɪn] n.準則
forgetful, [fɚ`gɛtfəl] adj.健忘的
gulp, [gʌlp] n.vt.vi.狼吞虎嚥
format, [`fɔrmæ t] n.格式 vt.格式化
gust, [gʌst] n.強風；爆發
foul, [faʊl] adj.惡臭的；邪惡的 n.vi.犯規
gut, [gʌt] n.腸子；內臟；勇氣
fowl, [faʊl] n.家禽
gypsy, [`dʒɪpsɪ] n.吉普賽人
fraction, [`fræ kʃən] n.分數【數學】；斷片
hail, [hel] n.冰雹 n.vt.歡呼
framework, [`frem͵wɝk] n.架構；骨架
hairstyle, [`hɛr͵staɪl] n.髮型 
hairdo, [`hɛr͵du] n.髮型
frantic, [`fræ ntɪk] adj.狂亂的
freight, [fret] n.貨物
handicap, [`hæ ndɪ͵kæ p] n.障礙 vt.妨礙
frontier, [frʌn`tɪr] n.邊境
handicraft, [`hæ ndɪ͵kræ ft] n.手工藝品
fume, [fjum] n.(有害，濃烈難聞的)煙，氣
hardy, [`hɑrdɪ] adj.吃苦耐勞的；強壯的；大膽
fury, [`fjʊrɪ] n.盛怒的
fuse, [fjuz] vt.vi.熔合 n.保險絲
harness, [`hɑrnɪs] n.馬具 v.套上馬具；利用
fuss, [fʌs] n.vi.大驚小怪
gallop, [`gæ ləp] n.vt.vi.疾馳
haul, [hɔl] n.vt.vi.拖；拉；搬運
garment, [`gɑrmənt] n.衣服；外表
haunt, [hɔnt] vt.不斷糾纏；困擾
gasp, [gæ sp] n.vt.vi.喘氣
hearty, [`hɑrtɪ] adj.真誠的
gathering, [`gæ ðərɪŋ] n.聚集；集會
heavenly, [`hɛvənlɪ] adj.天空的；天國的；美好的
gay, [ge] adj.同性戀的 n.男同性戀
gender, [`dʒɛndɚ] n.性；性別
hedge, [hɛdʒ] n.樹籬
geographic, [dʒɪə`græ fɪk] adj.地理的
heed, [hid] n.vt.vi.留意；注意
geometry, [dʒɪ`ɑmətrɪ] n.幾何學
heighten, [`haɪtn] vt.vi.增高；加強
glacier, [`gleʃɚ] n.冰河
heir, [ɛr] n.繼承人
glare, [glɛr] vt.vi.n.閃耀；怒視
hence, [hɛns] adv.因此
gleam, [glim] n.vi.閃爍；一絲光線
herald, [`hɛrəld] n.使者 vt.傳達
glee, [gli] n.快樂；重唱曲
herb, [hɝb] n.藥草；草本植物
hermit, [`hɝmɪt] n.隱士
interference, [͵ɪntɚ`fɪrəns] n.妨礙；干涉
heroic, [hɪ`roɪk] adj.英雄的
interior, [ɪn`tɪrɪɚ] adj.內部的
heterosexual, [͵hɛtərə`sɛkʃʊəl] adj.異性戀的
interpretation, [ɪn͵tɝprɪ`teʃən] n.闡明；翻譯
hi-fi, [`haɪ`faɪ] n.高傳真
high fidelity, [fɪ`dɛlətɪ] n.高傳真
interpreter, [ɪn`tɝprɪtɚ] n.口譯員
intuition, [͵ɪntjùɪʃən] n.直覺
hijack, [ˈhaɪdʒæ k] vt.n.劫持
inward, [`ɪnwɚd] adj.內部的；精神上的
hiss, [hɪs] vt.vi.發出嘶嘶(噓)聲 n.嘶嘶(噓)聲
inward(s), [`ɪnwɚd(s)] n.內部；裡面
isle, [aɪl] n.小島
hoarse, [hors] adj.沙啞的
issue, [`ɪʃjʊ] n.議題；發行 vt.vi.發行
hockey, [`hɑkɪ] n.曲棍球
ivy, [àɪvɪ] n.常春藤
homosexual, [͵homə`sɛkʃʊəl] adj.n.同性戀(的)
jack, [dʒæ k] n.男人；侍者；水手
jade, [dʒed] n.玉
honk, [hɔŋk] n.汽車喇叭 v.發出汽車喇叭聲
janitor, [`dʒæ nɪtɚ] n.管理員；看門人
jasmine, [`dʒæ smɪn] n.茉莉
hood, [hʊd] n.引擎蓋；頭巾；兜帽
jaywalk, [`dʒe͵wɔk] vi.擅自穿越馬路
hoof, [huf] n.蹄
jeer, [dʒɪr] vt.vi.n.嘲弄
horizontal, [͵hɑrə`zɑnt!] adj.地平線的；水平的
jingle, [`dʒɪŋg!] n.叮噹聲 vi.發出叮噹聲
hostage, [`hɑstɪdʒ] n.人質；抵押品
jolly, [`dʒɑlɪ] adj.快活的
hostile, [`hɑstɪl] adj.敵人的；有敵意的
journalism, [`dʒɝn!͵ɪzm] n.新聞工作
hound, [haʊnd] n.獵犬
journalist, [`dʒɝnəlɪst] n.新聞\撰稿記者
housing, [`haʊzɪŋ] n.住宅
jug, [dʒʌg] n.水罐
hover, [`hʌvɚ] n.vi.空中盤旋
jury, [`dʒʊrɪ] n.陪審團
howl, [haʊl] n.vi.vt.號叫
justify, [`dʒʌstə͵faɪ] vt.vi.認為正當；為...辯護
hurl, [hɝl] vt.vi.n.用力投擲
hymn, [`hɪm] n.聖歌讚美詩
juvenile, [`dʒuvən!] n.少年 adj.少年的
idiot, [`ɪdɪət] n.白癡
kin, [kɪn] n.親屬
immense, [ɪ`mɛns] adj.廣大；無限的
kindle, [`kɪnd!] vt.vi.點燃；激起；照亮
imperial, [ɪm`pɪrɪəl] adj.帝國的
knowledgeable, [`nɑlɪdʒəb!] adj.博學的
impose, [ɪm`poz] vt.徵(稅)；加負擔於…
lad, [læ d] n.少年；小夥子；老友
impulse, [`ɪmpʌls] n.衝動
lame, [lem] adj.跛腳 vt.使…跛腳
incense, [`ɪnsɛns] n.香
landlady, [`lænd͵ledɪ] n.女房東
index, [`ɪndɛks] n.vt.vi.索引 n.指數
landlord, [`lænd͵lɔrd] n.地主
indifference, [ɪn`dɪfərəns] n.冷淡；不重要
laser, [`lezɚ] n.雷射
indifferent, [ɪn`dɪfərənt] adj.漠不關心的
latitude, [`læ tə͵tjud] n.緯度
indignant, [ɪn`dɪgnənt] adj.憤慨的
lawmaker, [`lɔ`mekɚ] n.立法之人
indispensable, [͵ɪndɪs`pɛnsəb!] adj.必需的
layer, [`leɚ] n.(一)層
induce, [ɪn`djus] vt.誘導；導致
league, [lig] n.聯盟
indulge, [ɪn`dʌldʒ] vt.vi.縱容
legislation, [͵lɛdʒɪs`leʃən] n.制定法律
infinite, [`ɪnfənɪt] adj.無限的；極大的
lessen, [`lɛsn] vi.vt.減少
inherit, [ɪn`hɛrɪt] vt.繼承
lest, [lɛst] conj. 以免
initiate, [ɪ`nɪʃɪɪt] vt.開始；創始
lieutenant, [lùtɛnənt] n.中尉
inland, [`ɪnlənd] adj.內地的
lifelong, [`laɪf͵lɔŋ] adj.一輩子的
innumerable, [ɪ`njumərəb!] adj.數不清的
likelihood, [`laɪklɪ͵hʊd] n.相似之處
inquire, [ɪn`kwaɪr] vt.vi.詢問；調查
lime, [laɪm] n.石灰
institute, [`ɪnstətjut] vt.設立 n.機構
limp, [lɪmp] vi.n.跛行
insure, [ɪn`ʃʊr] vt.投保；保證
linger, [`lɪŋgɚ] vi.徘徊
